Imagem,Descrição,Probabilidade
ADE_val_00001001.jpg,Ambrosial Primary odor,0.0733
ADE_val_00001001.jpg,Microbiological Primary odor,0.0703
ADE_val_00001001.jpg,City Smell Primary odor,0.0674
ADE_val_00001001.jpg,Hircine Primary odor,0.0624
ADE_val_00001001.jpg,Characteristic Primary odor,0.0556
ADE_val_00001001.jpg,Grains Primary odor,0.0264
ADE_val_00001001.jpg,Alliaceous Primary odor,0.0261
ADE_val_00001001.jpg,Waste Primary odor,0.0252
ADE_val_00001001.jpg,Waste Water Primary odor,0.0222
ADE_val_00001001.jpg,Brown Primary odor,0.0186
ADE_val_00001005.jpg,City Smell Primary odor,0.3216
ADE_val_00001005.jpg,Traffic emissions Primary odor,0.1135
ADE_val_00001005.jpg,Fecal/ Sewery Primary odor,0.0497
ADE_val_00001005.jpg,Building materials & construction Primary odor,0.0282
ADE_val_00001005.jpg,Cleaning materials Primary odor,0.0250
ADE_val_00001005.jpg,Fuel/ Gas Station/ Solvent Primary odor,0.0236
ADE_val_00001005.jpg,Synthetic Primary odor,0.0224
ADE_val_00001005.jpg,Industrial odours Primary odor,0.0215
ADE_val_00001005.jpg,Non-food items Primary odor,0.0214
ADE_val_00001005.jpg,Microbiological Primary odor,0.0200
ADE_val_00001015.jpg,Ambrosial Primary odor,0.0878
ADE_val_00001015.jpg,Characteristic Primary odor,0.0748
ADE_val_00001015.jpg,City Smell Primary odor,0.0624
ADE_val_00001015.jpg,Waste Water Primary odor,0.0563
ADE_val_00001015.jpg,Oriental Primary odor,0.0528
ADE_val_00001015.jpg,Microbiological Primary odor,0.0485
ADE_val_00001015.jpg,Industrial odours Primary odor,0.0402
ADE_val_00001015.jpg,Perfumes Primary odor,0.0384
ADE_val_00001015.jpg,Building materials & construction Primary odor,0.0370
ADE_val_00001015.jpg,Synthetic Primary odor,0.0290
ADE_val_00001034.jpg,City Smell Primary odor,0.0961
ADE_val_00001034.jpg,Alliaceous Primary odor,0.0701
ADE_val_00001034.jpg,Non-food items Primary odor,0.0635
ADE_val_00001034.jpg,Herbaceous Primary odor,0.0585
ADE_val_00001034.jpg,Building materials & construction Primary odor,0.0461
ADE_val_00001034.jpg,Waste Water Primary odor,0.0382
ADE_val_00001034.jpg,Cleaning materials Primary odor,0.0318
ADE_val_00001034.jpg,People & animals Primary odor,0.0309
ADE_val_00001034.jpg,Medicinal/ Phenolic Primary odor,0.0256
ADE_val_00001034.jpg,Human Perception Primary odor,0.0239
ADE_val_00001054.jpg,People & animals Primary odor,0.0565
ADE_val_00001054.jpg,Woody oriental Primary odor,0.0495
ADE_val_00001054.jpg,Fecal/ Sewery Primary odor,0.0476
ADE_val_00001054.jpg,Ylang Primary odor,0.0398
ADE_val_00001054.jpg,Coal tar Primary odor,0.0311
ADE_val_00001054.jpg,Waste Water Primary odor,0.0296
ADE_val_00001054.jpg,Drinking Water Primary odor,0.0291
ADE_val_00001054.jpg,Waxy Primary odor,0.0239
ADE_val_00001054.jpg,Nature Primary odor,0.0234
ADE_val_00001054.jpg,Brown Primary odor,0.0213
ADE_val_00001063.jpg,Cleaning materials Primary odor,0.0793
ADE_val_00001063.jpg,Brown Primary odor,0.0570
ADE_val_00001063.jpg,Dry woods Primary odor,0.0403
ADE_val_00001063.jpg,Fecal/ Sewery Primary odor,0.0348
ADE_val_00001063.jpg,Building materials & construction Primary odor,0.0335
ADE_val_00001063.jpg,Ambrosial Primary odor,0.0316
ADE_val_00001063.jpg,City Smell Primary odor,0.0294
ADE_val_00001063.jpg,Coal tar Primary odor,0.0224
ADE_val_00001063.jpg,Sulphur/ Cabbage/ Garlic Primary odor,0.0210
ADE_val_00001063.jpg,Waxy Primary odor,0.0207
ADE_val_00001073.jpg,Cleaning materials Primary odor,0.1783
ADE_val_00001073.jpg,Fecal/ Sewery Primary odor,0.0841
ADE_val_00001073.jpg,Coal tar Primary odor,0.0619
ADE_val_00001073.jpg,Building materials & construction Primary odor,0.0466
ADE_val_00001073.jpg,Brown Primary odor,0.0376
ADE_val_00001073.jpg,Restaurant Primary odor,0.0265
ADE_val_00001073.jpg,Grains Primary odor,0.0232
ADE_val_00001073.jpg,Ripe/ Unripe Primary odor,0.0192
ADE_val_00001073.jpg,Lemon Primary odor,0.0180
ADE_val_00001073.jpg,Spices Primary odor,0.0166
ADE_val_00001083.jpg,Cleaning materials Primary odor,0.2086
ADE_val_00001083.jpg,Fecal/ Sewery Primary odor,0.1639
ADE_val_00001083.jpg,Restaurant Primary odor,0.1094
ADE_val_00001083.jpg,Building materials & construction Primary odor,0.0459
ADE_val_00001083.jpg,Waste Water Primary odor,0.0386
ADE_val_00001083.jpg,Water Primary odor,0.0257
ADE_val_00001083.jpg,Drinking Water Primary odor,0.0239
ADE_val_00001083.jpg,Microbial Primary odor,0.0189
ADE_val_00001083.jpg,Human Perception Primary odor,0.0186
ADE_val_00001083.jpg,Industrial odours Primary odor,0.0157
ADE_val_00001106.jpg,Restaurant Primary odor,0.2869
ADE_val_00001106.jpg,Fecal/ Sewery Primary odor,0.0624
ADE_val_00001106.jpg,Microbial Primary odor,0.0367
ADE_val_00001106.jpg,Water Primary odor,0.0362
ADE_val_00001106.jpg,Cleaning materials Primary odor,0.0268
ADE_val_00001106.jpg,Microbiological Primary odor,0.0259
ADE_val_00001106.jpg,Waste Water Primary odor,0.0229
ADE_val_00001106.jpg,Industrial odours Primary odor,0.0210
ADE_val_00001106.jpg,Drinking Water Primary odor,0.0176
ADE_val_00001106.jpg,Sulphur/ Cabbage/ Garlic Primary odor,0.0164
ADE_val_00001112.jpg,Fragrant/ Fruity Primary odor,0.0753
ADE_val_00001112.jpg,Drinking Water Primary odor,0.0707
ADE_val_00001112.jpg,Vegetation Primary odor,0.0537
ADE_val_00001112.jpg,Perfumes Primary odor,0.0483
ADE_val_00001112.jpg,Fragrance Primary odor,0.0386
ADE_val_00001112.jpg,Microbiological Primary odor,0.0357
ADE_val_00001112.jpg,Plants Primary odor,0.0351
ADE_val_00001112.jpg,Characteristic Primary odor,0.0330
ADE_val_00001112.jpg,People & animals Primary odor,0.0329
ADE_val_00001112.jpg,Medicinal/ Phenolic Primary odor,0.0308
ADE_val_00001122.jpg,Cleaning materials Primary odor,0.0963
ADE_val_00001122.jpg,Marshy/ Septic/ Sulphurous Primary odor,0.0660
ADE_val_00001122.jpg,Building materials & construction Primary odor,0.0447
ADE_val_00001122.jpg,Aromatic Primary odor,0.0363
ADE_val_00001122.jpg,Mossy woods Primary odor,0.0328
ADE_val_00001122.jpg,Characteristic Primary odor,0.0317
ADE_val_00001122.jpg,Woody/ Resinous Primary odor,0.0295
ADE_val_00001122.jpg,Dry woods Primary odor,0.0274
ADE_val_00001122.jpg,Fecal/ Sewery Primary odor,0.0234
ADE_val_00001122.jpg,Medicinal/ Alcohol Primary odor,0.0207
ADE_val_00001131.jpg,Cleaning materials Primary odor,0.1146
ADE_val_00001131.jpg,Aromatic Primary odor,0.0617
ADE_val_00001131.jpg,Ylang Primary odor,0.0392
ADE_val_00001131.jpg,Dry fruit Primary odor,0.0383
ADE_val_00001131.jpg,Building materials & construction Primary odor,0.0380
ADE_val_00001131.jpg,Hircine Primary odor,0.0378
ADE_val_00001131.jpg,Coal tar Primary odor,0.0311
ADE_val_00001131.jpg,Medicinal/ Phenolic Primary odor,0.0304
ADE_val_00001131.jpg,Characteristic Primary odor,0.0287
ADE_val_00001131.jpg,Cloth Primary odor,0.0246
ADE_val_00001151.jpg,Cleaning materials Primary odor,0.1649
ADE_val_00001151.jpg,Ylang Primary odor,0.1144
ADE_val_00001151.jpg,Woody oriental Primary odor,0.0484
ADE_val_00001151.jpg,Building materials & construction Primary odor,0.0466
ADE_val_00001151.jpg,Restaurant Primary odor,0.0425
ADE_val_00001151.jpg,Dry fruit Primary odor,0.0346
ADE_val_00001151.jpg,Aromatic Primary odor,0.0342
ADE_val_00001151.jpg,Characteristic Primary odor,0.0247
